Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9,0,2015-08-07 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,4750,2619,1899,1,A9,0,2015-08-07 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,1287,2528,1899,1,S1,0,2015-12-18 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVE                      ,            ,10458,1,0,1,1103,1290,1910,1,A1,300000,2015-02-20 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1,0,2015-08-18 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,2500,2452,1910,1,S1,400000,2015-07-01 00:00:00
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,87, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458,1,2,3,1911,4080,1931,1,S0,510000,2015-01-06 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,0,2015-12-12 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,139, ,B1,3823 3 AVENUE                            ,            ,10457,2,0,2,2000,2400,1993,1,B1,430000,2015-08-04 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,2000,2400,1993,1,B1,10000,2015-06-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,118, ,B1,3862 3RD AVENUE                          ,            ,10457,2,0,2,2451,2394,1995,1,B1,389000,2015-01-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,3165,2394,1995,1,B1,505000,2015-08-05 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,3165,2394,1995,1,B1,250000,2015-02-19 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2,490000,2015-09-28 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3,1000,2015-12-28 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,1569,1497,1899,1,B3,1000,2015-10-20 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,203, ,B3,4461 PARK AVENUE                         ,            ,10457,2,0,2,1592,1860,1899,1,B3,100000,2015-08-20 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,4124,2340,1998,1,B1,228000,2015-11-16 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,3525,2316,1899,1,B2,128778,2015-05-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,58, ,B1,465 EAST 179 STREET                      ,            ,10457,2,0,2,1984,2340,1998,1,B1,420000,2015-04-23 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,2133,2006,1,B1,0,2015-10-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,44, ,B1,444 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2060,1901,1,B1,500,2015-02-23 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,4, ,B1,2034 BATHGATE AVENUE                     ,            ,10457,2,0,2,1575,1710,1998,1,B1,0,2015-09-09 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1258,2340,1901,1,B9,10,2015-01-19 00:00:00
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,65, ,B2,508 EAST 183 STREET                      ,            ,10458,2,0,2,1316,2112,1901,1,B2,449000,2015-06-08 00:00:00
