Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61,,A4,189 EAST 7TH STREET,,10009,1,0,1,987,2183,1860,1,A4,0,2018-05-23 00:00:00
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61,,A4,189 EAST 7TH STREET,,10009,1,0,1,987,2183,1860,1,A4,4844809,2018-05-22 00:00:00
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,400,19,,A4,526 EAST 5TH STREET,,10009,1,0,1,1883,5200,1900,1,A4,6100000,2018-12-03 00:00:00
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,390,35,,B1,113 AVENUE C,,10009,2,0,2,1218,4764,1899,1,B1,0,2018-04-25 00:00:00
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,1510,4520,1900,1,B9,0,2018-11-29 00:00:00
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,1510,4520,1900,1,B9,0,2018-11-29 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,379,37,,C7,133 AVENUE D,,10009,20,2,22,3481,14588,1930,2,C7,8300000,2018-12-10 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,2,,C7,21-23 AVENUE B,,10009,12,4,16,4186,10588,1900,2,C7,10350000,2018-09-07 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,389,18,,C1,200 EAST 7TH STREET,,10009,18,0,18,2271,10650,1910,2,C1,5000000,2018-09-05 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,50,,C1,"209 EAST 7TH STREET, 1W",,10009,29,0,29,3900,18099,1900,2,C1,0,2018-11-30 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,390,54,,C3,203 EAST 7TH STREET,,10009,4,0,4,1950,5446,2001,2,C3,6250000,2018-05-09 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,390,64,,C4,187 EAST 7TH STREET,,10009,8,2,10,1642,5220,1910,2,C4,2400000,2018-05-18 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,391,12,,C1,610 EAST 9TH STREET,,10009,24,0,24,2543,11568,1910,2,C1,0,2018-12-17 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,22,,C4,374 EAST 10TH STREET,,10009,17,0,17,4614,20599,1900,2,C4,0,2018-06-28 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,27,,C4,384 EAST 10TH STREET,,10009,45,0,45,9234,49799,1900,2,C4,0,2018-06-28 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,48,,C1,627 EAST 9TH STREET,,10009,35,0,35,9227,43871,1900,2,C1,0,2018-06-28 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,23,,C7,632 EAST 11TH STREET,,10009,33,2,35,4740,19980,1900,2,C7,17250000,2018-12-05 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,377 EAST 10TH,,10009,12,0,12,2370,10715,1900,2,C4,954623,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 1B",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 5B",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 5A",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 3A",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 3B",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 2A",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 4A",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 6A",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 6B",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,47,,C4,"377 EAST 10TH STREET, 4B",,10009,12,0,12,2370,10715,1900,2,C4,2500,2018-06-04 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,395,1,,C7,195 AVENUE B,,10009,16,2,18,4650,27000,1910,2,C7,0,2018-06-28 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,395,3,,C7,199 AVENUE B,,10009,23,4,27,7347,14696,1910,2,C7,0,2018-06-28 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,398,32,,C7,30 AVENUE B,,10009,16,2,18,1934,8700,1900,2,C7,0,2018-03-05 00:00:00
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,398,32,,C7,30 AVENUE B,,10009,16,2,18,1934,8700,1900,2,C7,0,2018-03-05 00:00:00
