Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1,4428 PARK AVENUE                         ,            ,10457,1,0,1,3525,1340,1899,1,A1,0,2011-02-08 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,64, ,A1,467 EAST 185 STREET                      ,            ,10458,1,0,1,1667,1296,1910,1,A1,329000,2011-01-19 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1,2085 BATHGATE AV                         ,            ,10457,1,0,1,2060,1629,1899,1,A1,288500,2011-06-29 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182ND STREET                    ,            ,10457,1,0,1,1209,1048,1901,1,A1,122500,2011-03-21 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,103, ,A1,2327 BASSFORD AVENUE                     ,            ,10458,1,0,1,913,1248,1901,1,A1,10,2011-08-25 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2929,128, ,B1,559 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,2361,2394,1995,1,B1,365000,2011-07-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2,4435 PARK AVENUE                         ,            ,10457,2,0,2,2444,2125,1899,1,B2,375000,2011-05-18 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,128, ,B1,458 EAST 179TH ST                        ,            ,10457,2,0,2,1790,2340,1998,1,B1,0,2011-03-22 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,43, ,B1,2057 WASHINGTON AVENUE                   ,            ,10457,2,0,2,3323,3438,1997,1,B1,360000,2011-06-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,6, ,B2,4392 PARK AVENUE                         ,            ,10457,2,0,2,2275,3240,1899,1,B2,115000,2011-01-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,65, ,B2,465 E.185TH STREET                       ,            ,10458,2,0,2,1667,1296,1910,1,B2,135000,2011-07-19 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,44, ,B1,2067 BATHGATE AVENUE                     ,            ,10457,2,0,2,1417,2995,2009,1,B1,390486,2011-07-08 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,45, ,B1,2065 BATHGATE AVENUE                     ,            ,10457,2,0,2,1417,2995,2009,1,B1,380250,2011-03-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,54, ,B2,2043 BATHGATE AVENUE                     ,            ,10457,2,0,2,2483,1512,1901,1,B2,358500,2011-11-14 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1258,2340,1901,1,B9,355643,2011-05-16 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,36, ,B2,2253 BASSFORD AVENUE                     ,            ,10457,2,0,2,1935,1610,1901,1,B2,325000,2011-03-28 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2,511 EAST 183 STREET                      ,            ,10458,2,1,3,2011,4280,1901,1,S2,167500,2011-01-28 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,140, ,C0,2139 WASHINGTON AVENUE                   ,            ,10457,3,0,3,2670,2970,1899,1,C0,459000,2011-10-04 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,51, ,C0,1966 BATHGATE AVENUE                     ,            ,10457,3,0,3,2880,3132,1910,1,C0,425000,2011-05-13 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,56, ,C0,1976 BATHGATE AVENUE                     ,            ,10457,3,0,3,1493,2430,1931,1,C0,292500,2011-01-24 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,3, ,C0,2190 WASHINGTON AVENUE                   ,            ,10457,3,0,3,1331,2244,1901,1,C0,0,2011-06-09 00:00:00
