Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH STREET                     ,            ,11214,1,0,1,4833,1724,1930,1,A1,0,2010-06-18 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH STREET                     ,            ,11214,1,0,1,4833,1724,1930,1,A1,0,2010-05-26 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6370,66, ,A9,28 BAY 20TH STREET                       ,            ,11214,1,0,1,2417,1584,1930,1,A9,0,2010-01-09 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,26, ,A9,33 BAY 29TH   STREET                     ,            ,11214,1,0,1,2465,2043,1920,1,A9,618000,2010-11-02 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,  ,6397,6, ,  ,1611 BATH AVENUE                         ,            ,11214,0,0,0,0,0,0,1,A1,0,2010-09-22 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6398,39, ,A1,1638 BENSON AVENUE                       ,            ,11214,1,0,1,3625,1825,1925,1,A1,0,2010-11-04 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6401,6, ,S1,1735 BATH AVENUE                         ,            ,11214,1,1,2,1112,1520,1920,1,S1,470000,2010-06-11 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,48, ,S1,1967 BATH AVENUE                         ,            ,11214,1,1,2,1583,2052,1920,1,S1,0,2010-06-23 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,49, ,S1,1965 BATH AVENUE                         ,            ,11214,1,1,2,1596,1944,1920,1,S1,0,2010-06-23 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6409,35, ,A9,94 BAY 25TH STREET                       ,            ,11214,1,0,1,1440,1281,1915,1,A9,0,2010-08-23 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6428,55, ,A1,202 BAY 11TH STREET                      ,            ,11228,1,0,1,1933,1515,1920,1,A1,526076,2010-06-15 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6429,56, ,A5,8804 16TH AVENUE                         ,            ,11214,1,0,1,1655,1156,1960,1,A5,0,2010-01-27 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,39, ,S1,1628B BATH AVENUE                        ,            ,11214,1,1,2,986,1972,1910,1,S1,0,2010-06-23 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6433,10, ,A5,1703 CROPSEY AVENUE                      ,            ,11214,1,0,1,1438,2490,1937,1,A5,0,2010-07-02 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6442,36, ,S0,2024 BATH AVENUE                         ,            ,11214,1,2,3,1200,2200,1925,1,S0,485000,2010-02-16 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6447,29, ,S1,2156 BATH AVENUE                         ,            ,11214,1,1,2,1933,2201,1920,1,S1,0,2010-12-06 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6447,30, ,S1,2158 BATH AVENUE                         ,            ,11214,1,1,2,1933,2152,1920,1,S1,652150,2010-10-21 00:00:00
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,203, ,A5,8846 16TH AVENUE                         ,            ,11214,1,0,1,1937,1860,1950,1,A5,585200,2010-01-15 00:00:00
