Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
1,ALPHABET CITY            ,03  THREE FAMILY DWELLINGS                  ,1,376,24, ,C0,264 EAST 7TH   STREET                    ,            ,10009,3,0,3,2059,3696,1900,1,C0,7738700,2016-12-22 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,2, ,C7,21 AVENUE B                              ,            ,10009,12,4,16,4186,10588,1900,2,C7,0,2016-03-10 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,389,53, ,C1,615 EAST 6TH   STREET                    ,            ,10009,10,0,10,2271,7860,1939,2,C1,6350000,2016-04-20 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET                    ,            ,10009,28,3,31,4616,18690,1900,2,C7,0,2016-12-14 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD   STREET                    ,            ,10009,16,1,17,2212,7803,1900,2,C7,0,2016-12-09 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD STREET                      ,            ,10009,16,1,17,2212,7803,1900,2,C7,6300000,2016-08-04 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,20, ,C4,528 EAST 5TH STREET                      ,            ,10009,8,0,8,1859,5340,1900,2,C4,0,2016-02-19 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,61, ,C7,193 EAST 4TH   STREET                    ,            ,10009,11,1,12,2388,8045,1900,2,C7,0,2016-03-23 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,401,15, ,C5,510 EAST 6TH   STREET                    ,            ,10009,20,1,21,4845,13854,1900,2,C5,0,2016-01-11 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,401,27, ,C4,534 EAST 6TH   STREET                    ,            ,10009,8,1,9,1896,5876,1900,2,C4,5650000,2016-04-20 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,402,21, ,C4,154 EAST 7TH STREET                      ,            ,10009,10,0,10,2272,6794,1913,2,C4,3936272,2016-09-23 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,17, ,C7,526 EAST 11TH   STREET                   ,            ,10009,18,2,20,2614,9140,1900,2,C7,0,2016-08-19 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,404,41, ,C4,329 EAST 10TH   STREET                   ,            ,10009,10,0,10,2369,7100,1910,2,C4,11400000,2016-06-20 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,404,55, ,C2,301 EAST 10TH   STREET                   ,            ,10009,6,0,6,2369,4615,1900,2,C2,8000000,2016-11-17 00:00:00
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,406,32, ,C4,210 AVENUE B                             ,            ,10009,8,0,8,1750,4226,1920,2,C4,3192840,2016-09-23 00:00:00
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,387,153, ,D9,629 EAST 5TH STREET                      ,            ,10009,24,0,24,4489,18523,1920,2,D9,16232000,2016-11-07 00:00:00
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2B,400,21, ,D1,530-532 EAST 5TH STREET                  ,            ,10009,10,0,10,3717,12350,2009,2,D1,10350000,2016-10-17 00:00:00
