Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,8, ,A5,4730 AMBOY ROAD                          ,            ,10312,1,0,1,3149,1110,2002,1,A5,450000,2011-02-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5397,51, ,A1,23 EYLANDT STREET                        ,            ,10312,1,0,1,10120,3000,1985,1,A1,0,2011-10-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,23, ,A3,75 NOEL STREET                           ,            ,10312,1,0,1,10000,4095,1991,1,A3,0,2011-06-03 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,23, ,A3,75 NOEL STREET                           ,            ,10312,1,0,1,10000,4095,1991,1,A3,0,2011-06-03 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,18, ,A2,1610 ARDEN AVENUE                        ,            ,10312,1,0,1,7500,2128,1970,1,A2,0,2011-02-28 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,13, ,A5,99 EAGAN AVENUE                          ,            ,10312,1,0,1,1845,1854,1986,1,A5,338000,2011-12-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,22, ,A5,83 EAGAN AVENUE                          ,            ,10312,1,0,1,1546,1579,1986,1,A5,0,2011-09-27 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,32, ,A5,63 EAGAN AVENUE                          ,            ,10312,1,0,1,2358,1854,1986,1,A5,180455,2011-11-25 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,22, ,A5,5 EAGAN AVENUE                           ,            ,10312,1,0,1,1508,1521,1986,1,A5,345000,2011-05-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,89, ,A1,1094 ARDEN AVENUE                        ,            ,10312,1,0,1,4200,1536,1970,1,A1,410000,2011-07-28 00:00:00
