Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,29,,A5,21-48 81ST STREET,,11370,1,0,1,1800,1224,1950,1,A5,730000,2018-07-19 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,33,,A5,21-56 81ST STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2018-10-12 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,68,,A5,21-07 80 STREET,,11370,1,0,1,1800,1224,1950,1,A5,822500,2018-11-21 00:00:00
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,53,,C0,19-75 80TH STREET,,11370,3,0,3,2000,2835,1945,1,C0,0,2018-09-21 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15828,4,,A2,310 BEACH 39TH STREET,,11691,1,0,1,1552,1000,1940,1,A2,360000,2018-07-06 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,36,,A5,337 BEACH 41 STREET,,11691,1,0,1,2470,1332,2006,1,A5,276000,2018-06-20 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15838,45,,A9,343 BEACH 46 STREET,,11691,1,0,1,3804,926,1920,1,A9,288750,2018-07-12 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,42,,A2,355 BEACH 47 STREET,,11691,1,0,1,1916,608,1920,1,A2,210000,2018-02-05 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,16,,A6,40-13 ROCKAWAY BEACH BLVD,,11691,1,0,1,2648,618,1920,1,A6,437026,2018-10-08 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,38,,A2,148 BEACH 60 STREET,,11692,1,0,1,2688,1952,1925,1,A2,0,2018-07-03 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,57,,A5,125 BEACH 59TH STREET,,11692,1,0,1,2576,1242,1975,1,A5,0,2018-07-16 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15954,10,,A1,418 BEACH 38 STREET,,11691,1,0,1,3000,1650,2003,1,A1,65000,2018-01-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,47,,A2,490 BEACH 44 STREET,,11691,1,0,1,1908,1848,1899,1,A2,137500,2018-12-20 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,47,,A2,490 BEACH 44 STREET,,11691,1,0,1,1908,1848,1899,1,A2,105000,2018-09-10 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15967,20,,A1,425 BEACH 44TH STREET,,11691,1,0,1,3411,1960,1920,1,A1,450000,2018-01-30 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,31,,A6,458 BEACH 46 STREET,,11691,1,0,1,2378,936,1920,1,A6,0,2018-10-01 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,32,,A6,460 BEACH 46TH STREET,,11691,1,0,1,2378,930,1920,1,A6,350000,2018-04-30 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,33,,A9,462 BEACH 46 STREET,,11691,1,0,1,2378,700,1920,1,A9,193200,2018-10-05 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,72,,A6,477 BEACH 45TH ST,,11691,1,0,1,1890,392,1920,1,A6,184500,2018-01-04 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,72,,A6,477 BEACH 45TH STREET,,11691,1,0,1,1890,392,1920,1,A6,305000,2018-10-24 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,91,,A2,441 BEACH 45TH STREET,,11691,1,0,1,1890,684,1920,1,A2,95000,2018-10-05 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,97,,A9,429 BEACH 45TH STREET,,11691,1,0,1,2836,680,1920,1,A9,415000,2018-05-07 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,99,,A6,423 BEACH 45,,11691,1,0,1,4726,620,1920,1,A6,175000,2018-12-27 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,105,,A1,411 BEACH 45TH STREET,,11691,1,0,1,2363,1560,1920,1,A1,455000,2018-07-20 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,43,,A2,477 BEACH 46TH STREET,,11691,1,0,1,1750,540,1940,1,A2,0,2018-01-02 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,51,,A1,457 BEACH 46 STREET,,11691,1,0,1,2378,1664,2004,1,A1,300000,2018-06-12 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,65,,A2,423 BEACH 46 STREET,,11691,1,0,1,2378,737,1940,1,A2,345000,2018-02-07 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,36,,A9,6-31 BEACH 65 STREET,,11692,1,0,1,2250,1402,1960,1,A9,380000,2018-03-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,36,,A9,6-31 BEACH 65 STREET,,11692,1,0,1,2250,1402,1960,1,A9,0,2018-03-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,37,,A9,6-29 BEACH 65 STREET,,11692,1,0,1,2250,1530,1960,1,A9,375000,2018-06-14 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,55,,A2,6514 ALMEDA,,11692,1,0,1,1913,1407,1960,1,A2,0,2018-03-26 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,23,,A1,648 BEACH 69TH STREET,,11692,1,0,1,4000,1196,1920,1,A1,410000,2018-10-05 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,12,,A9,528 BEACH 65 STREET,,11692,1,0,1,2500,1925,1960,1,A9,410000,2018-02-26 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,20,,A9,548 BEACH 65TH STREET,,11692,1,0,1,2500,1526,1960,1,A9,329000,2018-08-23 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,45,,A2,555 BEACH 66TH STREET,,11692,1,0,1,2500,1396,1965,1,A2,245000,2018-12-14 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16034,40,,A9,563 BEACH 67 STREET,,11692,1,0,1,3000,1530,1950,1,A9,667898,2018-08-07 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16035,62,,A1,5-49 BEACH 68 STREET,,11692,1,0,1,4000,1680,1920,1,A1,110000,2018-10-19 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,29,,A2,4-46 BEACH 65 STREET,,11692,1,0,1,3100,900,1910,1,A2,350000,2018-04-26 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,52,,A9,441 BEACH 64TH ST,,11692,1,0,1,2250,1530,1960,1,A9,130000,2018-01-18 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16040,46,,A1,449 BEACH 66TH STREET,,11692,1,0,1,4000,1454,1920,1,A1,430000,2018-10-04 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16042,60,,A1,425 BEACH 68TH STREET,,11692,1,0,1,4000,3489,1920,1,A1,413400,2018-10-04 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16045,27,,A6,69-09 BAYFIELD AVENUE,,11692,1,0,1,2000,1024,1930,1,A6,200000,2018-04-27 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,1,,A2,69-51 BURCHELL AVE,,11692,1,0,1,3000,1428,1960,1,A2,130000,2018-11-12 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16050,20,,A1,69-23 ELIZABETH AVENUE,,11692,1,0,1,4000,1383,1915,1,A1,269000,2018-07-03 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16050,20,,A1,6923 ELIZABETH AVENUE,,11692,1,0,1,4000,1383,1915,1,A1,220000,2018-01-18 00:00:00
