Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,13, ,A5,4716 AMBOY ROAD                          ,            ,10312,1,0,1,1871,1110,2002,1,A5,370000,2014-12-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,65, ,A3,22 BLUE HERON DRIVE                      ,            ,10312,1,0,1,8000,3800,1987,1,A3,0,2014-07-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,7, ,A2,24 SANDBORN STREET                       ,            ,10312,1,0,1,4750,2002,1960,1,A2,0,2014-05-30 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,1, ,A1,381 HAROLD AVENUE                        ,            ,10312,1,0,1,9900,1768,1940,1,A1,740000,2014-07-29 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,11, ,A1,168 KINGHORN STREET                      ,            ,10312,1,0,1,10000,2600,1920,1,A1,0,2014-06-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,21, ,A1,1660 ARDEN AVENUE                        ,            ,10312,1,0,1,5000,1680,1960,1,A1,0,2014-09-12 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5407,11, ,A1,24 ELMBANK STREET                        ,            ,10312,1,0,1,5000,1520,1910,1,A1,355000,2014-07-02 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,48, ,A6,39 SANDGAP STREET                        ,            ,10312,1,0,1,2500,710,1950,1,A6,310000,2014-12-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5426,38, ,A1,25 OCEAN DRIVEWAY                        ,            ,10312,1,0,1,7440,3176,2001,1,A1,745000,2014-10-09 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,14, ,A5,97 EAGAN AVENUE                          ,            ,10312,1,0,1,1845,1854,1986,1,A5,395000,2014-05-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,55, ,A5,36 SEGUINE PLACE                         ,            ,10312,1,0,1,1471,1068,1986,1,A5,325000,2014-07-11 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,18, ,A1,210 SNEDEN AVENUE                        ,            ,10312,1,0,1,1950,2092,2006,1,A1,435000,2014-01-29 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,24, ,A5,1 EAGAN AVENUE                           ,            ,10312,1,0,1,3100,1853,1986,1,A5,0,2014-06-20 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,50, ,A5,74 SEGUINE PLACE                         ,            ,10312,1,0,1,1508,1068,1986,1,A5,285000,2014-12-11 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,53, ,A5,24 LUCY LOOP                             ,            ,10312,1,0,1,2320,2200,2000,1,A5,450000,2014-08-27 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,28, ,A2,90 MOSELY AVENUE                         ,            ,10312,1,0,1,5000,1408,1925,1,A2,0,2014-05-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,32, ,A5,22 LORRAINE AVENUE                       ,            ,10312,1,0,1,2432,1816,2002,1,A5,415000,2014-07-31 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6221,18, ,A2,1020 ARDEN AVENUE                        ,            ,10312,1,0,1,5670,960,1955,1,A2,410000,2014-08-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6221,36, ,A1,1056 ARDEN AVENUE                        ,            ,10312,1,0,1,4200,980,1925,1,A1,395000,2014-07-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6222,14, ,V0,18 JEANNETTE AVENUE                      ,            ,10312,1,0,1,12000,0,1935,1,A1,855500,2014-05-08 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,20, ,A1,32 JEANNETTE AVENUE                      ,            ,10312,1,0,1,6000,1560,1935,1,A1,500000,2014-06-20 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6222,43, ,A5,37 LORRAINE AVENUE                       ,            ,10312,1,0,1,2400,2100,2004,1,A5,475000,2014-06-26 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,123, ,A2,961 CARLTON BOULEVARD                    ,            ,10312,1,0,1,9180,900,1960,1,A2,465000,2014-09-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,148, ,A2,915 CARLTON BOULEVARD                    ,            ,10312,1,0,1,5200,920,1950,1,A2,0,2014-06-03 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,41, ,A2,782 ARDEN AVENUE                         ,            ,10312,1,0,1,11880,1424,1965,1,A2,700000,2014-12-27 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,50, ,A1,900 CARLTON BOULEVARD                    ,            ,10312,1,0,1,5700,4078,1955,1,A1,0,2014-03-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,47, ,A1,760 ARDEN AVENUE                         ,            ,10312,1,0,1,6000,1146,1925,1,A1,405000,2014-10-02 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6229,68, ,A1,165 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,4000,2872,1915,1,A1,600000,2014-07-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,17, ,A2,668 DRUMGOOLE ROAD EAST                  ,            ,10312,1,0,1,8000,934,1925,1,A2,0,2014-10-23 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6233,1, ,A1,283 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,6000,2104,1915,1,A1,592000,2014-06-02 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6233,7, ,A3,295 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,4000,2900,1990,1,A3,637500,2014-01-09 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6236,72, ,A2,153 SINCLAIR AVENUE                      ,            ,10312,1,0,1,10000,3280,1975,1,A2,0,2014-04-02 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6237,1, ,A2,401 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,6000,2403,1920,1,A2,580000,2014-07-01 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6237,44, ,A2,490 ARDEN AVENUE                         ,            ,10312,1,0,1,6100,1008,1955,1,A2,393000,2014-05-16 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6237,50, ,A2,500 ARDEN AVENUE                         ,            ,10312,1,0,1,6000,1124,1940,1,A2,449000,2014-11-14 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6239,25, ,A1,670 WOODROW ROAD                         ,            ,10312,1,0,1,6200,2600,1975,1,A1,610000,2014-07-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6243,43, ,A3,120 BARCLAY AVENUE                       ,            ,10312,1,0,1,5000,3156,2012,1,A3,819691,2014-02-14 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,1, ,A2,4969 AMBOY ROAD                          ,            ,10312,1,0,1,7695,1300,1960,1,A2,0,2014-04-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,1, ,A2,4969 AMBOY ROAD                          ,            ,10312,1,0,1,7695,1300,1960,1,A2,525000,2014-03-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6245,202, ,A2,11 PINE TERRACE                          ,            ,10312,1,0,1,4500,2002,1960,1,A2,490000,2014-10-21 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,414, ,A2,924 ANNADALE ROAD                        ,            ,10312,1,0,1,4879,2088,1965,1,A2,100000,2014-10-22 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,633, ,A3,15 TENAFLY PLACE                         ,            ,10312,1,0,1,7442,3508,2014,1,A3,778961,2014-10-06 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,90, ,A1,14 DOWNES AVENUE                         ,            ,10312,1,0,1,8000,3250,1985,1,A1,0,2014-10-29 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6254,112, ,A1,103 SOUTH RAILROAD ST                    ,            ,10312,1,0,1,3280,2200,1997,1,A1,470000,2014-01-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6257,90, ,A2,10 BURCHARD COURT                        ,            ,10312,1,0,1,6138,1086,1955,1,A2,265000,2014-03-11 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6259,12, ,A3,246 DETROIT AVENUE                       ,            ,10312,1,0,1,8000,3519,2014,1,A3,768778,2014-12-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6260,22, ,B2,220 EDGEGROVE AVENUE                     ,            ,10312,2,0,2,4000,2953,2014,1,A1,0,2014-01-12 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,24, ,A2,226 IONIA AVENUE                         ,            ,10312,1,0,1,10000,1792,1960,1,A2,10,2014-10-06 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6270,54, ,A1,279 VINELAND AVENUE                      ,            ,10312,1,0,1,4000,1928,1970,1,A1,0,2014-12-04 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6271,15, ,A1,472 JEFFERSON BOULEVARD                  ,            ,10312,1,0,1,3840,1968,1940,1,A1,617500,2014-04-01 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1B,6273,33, ,V0,343 CROWN AVENUE                         ,            ,10312,1,0,1,8900,0,1955,1,A1,644000,2014-07-25 00:00:00
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6277,68, ,A1,338 EDGEGROVE AVENUE                     ,            ,10312,1,0,1,4000,2620,1960,1,A1,0,2014-02-18 00:00:00
